part_name,category,part_number,manufacturer,description,price,quantity,min_stock,car_model,year,supplier,is_available
Serpentine Belt,Exhaust,SP6888,Honda,High-quality Serpentine Belt suitable for Honda Fit 2016.,861.96,78,3,Fit,2016,Precision Auto,True
Thermostat,Body,SP5461,Toyota,High-quality Thermostat suitable for Toyota RAV4 2012.,253.72,61,5,RAV4,2012,FastTrack Motors,True
Power Steering Pump,Exhaust,SP9553,Volkswagen,High-quality Power Steering Pump suitable for Volkswagen Atlas 2016.,698.03,16,4,Atlas,2016,Elite Car Parts,True
Exhaust Muffler,Exhaust,SP5632,Mercedes,High-quality Exhaust Muffler suitable for Mercedes C-Class 2021.,833.32,38,1,C-Class,2021,Superior Parts Co.,True
Coolant Hose,Engine,SP9815,Nissan,High-quality Coolant Hose suitable for Nissan Maxima 2007.,882.23,92,1,Maxima,2007,Precision Auto,True
EGR Valve,Body,SP2232,Hyundai,High-quality EGR Valve suitable for Hyundai Elantra 2006.,690.17,55,3,Elantra,2006,FastTrack Motors,True
Shock Absorbers,Engine,SP3256,Chevrolet,High-quality Shock Absorbers suitable for Chevrolet Traverse 2018.,552.97,21,2,Traverse,2018,Superior Parts Co.,True
Battery,Body,SP9613,Kia,High-quality Battery suitable for Kia Sportage 2019.,458.76,58,2,Sportage,2019,Elite Car Parts,True
Power Steering Pump,Transmission,SP3614,Honda,High-quality Power Steering Pump suitable for Honda Pilot 2004.,874.19,74,4,Pilot,2004,Quality Auto,True
Brake Pads,Brakes,SP4066,BMW,High-quality Brake Pads suitable for BMW X3 2021.,978.14,47,2,X3,2021,Elite Car Parts,True
Heater Core,Suspension,SP4646,Volkswagen,High-quality Heater Core suitable for Volkswagen Atlas 2018.,808.65,90,4,Atlas,2018,Precision Auto,True
Shock Absorbers,Engine,SP7922,Hyundai,High-quality Shock Absorbers suitable for Hyundai Santa Fe 2017.,558.23,90,3,Santa Fe,2017,FastTrack Motors,True
Oil Filter,Body,SP6654,Ford,High-quality Oil Filter suitable for Ford Explorer 2013.,714.88,67,5,Explorer,2013,Quality Auto,True
Power Steering Pump,Electrical,SP4200,Ford,High-quality Power Steering Pump suitable for Ford Escape 2013.,236.88,50,5,Escape,2013,Quality Auto,True
Heater Core,Engine,SP1736,Nissan,High-quality Heater Core suitable for Nissan Sentra 2000.,25.92,78,3,Sentra,2000,FastTrack Motors,True
Water Pump,Transmission,SP5030,Honda,High-quality Water Pump suitable for Honda Civic 2013.,949.38,70,3,Civic,2013,Elite Car Parts,True
Alternator,Exhaust,SP2481,Honda,High-quality Alternator suitable for Honda Pilot 2000.,297.59,16,5,Pilot,2000,Quality Auto,True
Fuel Injector,Exhaust,SP8483,Chevrolet,High-quality Fuel Injector suitable for Chevrolet Camaro 2006.,566.79,8,5,Camaro,2006,Elite Car Parts,True
Exhaust Muffler,Engine,SP9085,Ford,High-quality Exhaust Muffler suitable for Ford Escape 2020.,886.64,37,2,Escape,2020,FastTrack Motors,True
Oxygen Sensor,Cooling,SP5283,Kia,High-quality Oxygen Sensor suitable for Kia Sorento 2020.,447.24,63,2,Sorento,2020,Quality Auto,True
Throttle Body,Exhaust,SP1076,Kia,High-quality Throttle Body suitable for Kia Telluride 2019.,350.75,71,2,Telluride,2019,FastTrack Motors,True
Drive Shaft,Transmission,SP9868,Kia,High-quality Drive Shaft suitable for Kia Forte 2009.,244.36,23,4,Forte,2009,Superior Parts Co.,True
Brake Pads,Cooling,SP8036,Volkswagen,High-quality Brake Pads suitable for Volkswagen Atlas 2022.,245.64,76,1,Atlas,2022,Quality Auto,True
Oil Filter,Engine,SP4028,BMW,High-quality Oil Filter suitable for BMW 5 Series 2022.,493.43,7,2,5 Series,2022,Superior Parts Co.,True
Battery,Brakes,SP3672,Hyundai,High-quality Battery suitable for Hyundai Sonata 2004.,503.76,54,3,Sonata,2004,Superior Parts Co.,True
Oxygen Sensor,Engine,SP8896,Honda,High-quality Oxygen Sensor suitable for Honda Civic 2004.,120.8,88,4,Civic,2004,Elite Car Parts,True
Exhaust Muffler,Body,SP4818,BMW,High-quality Exhaust Muffler suitable for BMW 5 Series 2020.,501.8,47,1,5 Series,2020,Precision Auto,True
Transmission Mount,Brakes,SP5619,Ford,High-quality Transmission Mount suitable for Ford Explorer 2017.,890.19,92,3,Explorer,2017,Elite Car Parts,True
Air Filter,Electrical,SP5339,Toyota,High-quality Air Filter suitable for Toyota Tacoma 2020.,659.7,99,2,Tacoma,2020,Elite Car Parts,True
Drive Shaft,Body,SP8641,Honda,High-quality Drive Shaft suitable for Honda Accord 2015.,757.86,56,5,Accord,2015,Precision Auto,True
Water Pump,Brakes,SP3289,Volkswagen,High-quality Water Pump suitable for Volkswagen Tiguan 2009.,823.9,68,4,Tiguan,2009,Elite Car Parts,True
EGR Valve,Transmission,SP6222,BMW,High-quality EGR Valve suitable for BMW 3 Series 2004.,538.69,29,3,3 Series,2004,FastTrack Motors,True
Fuel Pump,Exhaust,SP3025,Chevrolet,High-quality Fuel Pump suitable for Chevrolet Equinox 2011.,548.7,8,2,Equinox,2011,Elite Car Parts,True
Control Arm,Cooling,SP7614,Kia,High-quality Control Arm suitable for Kia Forte 2014.,389.86,18,1,Forte,2014,FastTrack Motors,True
Crankshaft Position Sensor,Electrical,SP7886,Nissan,High-quality Crankshaft Position Sensor suitable for Nissan Altima 2018.,606.21,61,3,Altima,2018,Elite Car Parts,True
Timing Belt,Body,SP7948,Mercedes,High-quality Timing Belt suitable for Mercedes GLC 2001.,648.64,30,5,GLC,2001,Elite Car Parts,True
CV Axle,Exhaust,SP2709,Toyota,High-quality CV Axle suitable for Toyota Corolla 2010.,108.04,62,2,Corolla,2010,FastTrack Motors,True
Strut Assembly,Cooling,SP5723,Volkswagen,High-quality Strut Assembly suitable for Volkswagen Golf 2014.,562.64,3,4,Golf,2014,Elite Car Parts,True
Power Steering Pump,Engine,SP2976,Toyota,High-quality Power Steering Pump suitable for Toyota Corolla 2016.,548.73,64,3,Corolla,2016,Quality Auto,True
Wheel Bearing,Brakes,SP2108,Toyota,High-quality Wheel Bearing suitable for Toyota Camry 2022.,225.43,82,3,Camry,2022,FastTrack Motors,True
Exhaust Muffler,Suspension,SP7836,BMW,High-quality Exhaust Muffler suitable for BMW 3 Series 2002.,759.36,44,1,3 Series,2002,Superior Parts Co.,True
Tie Rod End,Cooling,SP8550,Ford,High-quality Tie Rod End suitable for Ford Escape 2009.,738.81,99,3,Escape,2009,Quality Auto,True
Catalytic Converter,Cooling,SP6540,Chevrolet,High-quality Catalytic Converter suitable for Chevrolet Camaro 2019.,697.93,87,5,Camaro,2019,Superior Parts Co.,True
Exhaust Muffler,Transmission,SP4193,Chevrolet,High-quality Exhaust Muffler suitable for Chevrolet Traverse 2020.,196.91,52,2,Traverse,2020,Precision Auto,True
Mass Air Flow Sensor,Body,SP2956,Nissan,High-quality Mass Air Flow Sensor suitable for Nissan Frontier 2005.,201.07,17,4,Frontier,2005,Quality Auto,True
